Date,Attendance
2020-03-02,154
2020-03-03,175
2020-03-04,153
2020-03-05,143
2020-03-06,163
2020-03-07,145
2020-03-08,166
2020-03-09,177
2020-03-10,202
2020-03-11,164
2020-03-12,167
2020-03-13,182
2020-03-14,156
2020-03-15,165
2020-03-16,178
2020-03-17,180
2020-03-18,176
2020-03-19,178
2020-03-20,152
2020-03-21,184
2020-03-22,191
2020-03-23,225
2020-03-24,186
2020-03-25,165
2020-03-26,180
2020-03-27,179
2020-03-28,173
2020-03-29,149
2020-03-30,178
2020-03-31,167
2020-04-01,160
2020-04-02,127
2020-04-03,136
2020-04-04,152
2020-04-05,134
2020-04-06,155
2020-04-07,144
2020-04-08,228
2020-04-09,179
2020-04-10,159
2020-04-11,175
2020-04-12,165
2020-04-13,173
2020-04-14,181
2020-04-15,185
2020-04-16,158
2020-04-17,177
2020-04-18,151
2020-04-19,168
2020-04-20,189
2020-04-21,198
2020-04-22,176
2020-04-23,169
2020-04-24,172
2020-04-25,170
2020-04-26,163
2020-04-27,183
2020-04-28,189
2020-04-29,176
2020-04-30,189
2020-05-01,185
2020-05-02,174
2020-05-03,188
2020-05-04,233
2020-05-05,185
2020-05-06,218
2020-05-07,206
2020-05-08,201
2020-05-09,206
2020-05-10,181
2020-05-11,212
2020-05-12,210
2020-05-13,178
2020-05-14,215
2020-05-15,213
2020-05-16,186
2020-05-17,182
2020-05-18,219
2020-05-19,206
2020-05-20,184
2020-05-21,221
2020-05-22,211
2020-05-23,210
2020-05-24,206
2020-05-25,192
2020-05-26,201
2020-05-27,199
2020-05-28,209
2020-05-29,189
2020-05-30,190
2020-05-31,212
2020-06-01,274
2020-06-02,200
2020-06-03,222
2020-06-04,214
2020-06-05,207
2020-06-06,184
2020-06-07,198
2020-06-08,210
2020-06-09,227
2020-06-10,237
2020-06-11,229
2020-06-12,217
2020-06-13,199
2020-06-14,199
2020-06-15,239
2020-06-16,236
2020-06-17,240
2020-06-18,231
2020-06-19,213
2020-06-20,216
2020-06-21,188
2020-06-22,251
2020-06-23,217
2020-06-24,214
2020-06-25,215
2020-06-26,252
2020-06-27,204
2020-06-28,211
2020-06-29,229
2020-06-30,235
2020-07-01,213
2020-07-02,237
2020-07-03,216
2020-07-04,193
2020-07-05,192
2020-07-06,284
2020-07-07,224
2020-07-08,228
2020-07-09,231
2020-07-10,240
2020-07-11,214
2020-07-12,202
2020-07-13,292
2020-07-14,208
2020-07-15,217
2020-07-16,223
2020-07-17,210
2020-07-18,221
2020-07-19,171
2020-07-20,231
2020-07-21,206
2020-07-22,192
2020-07-23,222
2020-07-24,227
2020-07-25,181
2020-07-26,199
2020-07-27,187
2020-07-28,174
2020-07-29,163
2020-07-30,189
2020-07-31,183
2020-08-01,151
2020-08-02,194
2020-08-03,181
2020-08-04,180
2020-08-05,169
2020-08-06,185
2020-08-07,159
2020-08-08,152
2020-08-09,164
2020-08-10,217
2020-08-11,155
2020-08-12,155
2020-08-13,170
2020-08-14,163
2020-08-15,163
2020-08-16,174
2020-08-17,204
2020-08-18,172
2020-08-19,170
2020-08-20,170
2020-08-21,200
2020-08-22,171
2020-08-23,180
2020-08-24,199
2020-08-25,204
2020-08-26,192
2020-08-27,199
2020-08-28,167
2020-08-29,203
2020-08-30,186
2020-08-31,197
2020-09-01,176
2020-09-02,178
2020-09-03,196
2020-09-04,200
2020-09-05,194
2020-09-06,184
2020-09-07,223
2020-09-08,203
2020-09-09,181
2020-09-10,199
2020-09-11,206
2020-09-12,178
2020-09-13,201
2020-09-14,223
2020-09-15,194
2020-09-16,218
2020-09-17,200
2020-09-18,186
2020-09-19,192
2020-09-20,177
2020-09-21,229
2020-09-22,201
2020-09-23,214
2020-09-24,206
2020-09-25,220
2020-09-26,191
2020-09-27,202
2020-09-28,223
2020-09-29,225
2020-09-30,187
2020-10-01,167
2020-10-02,220
2020-10-03,201
2020-10-04,209
2020-10-05,223
2020-10-06,219
2020-10-07,195
2020-10-08,183
2020-10-09,197
2020-10-10,179
2020-10-11,195
2020-10-12,240
2020-10-13,189
2020-10-14,231
2020-10-15,199
2020-10-16,206
2020-10-17,191
2020-10-18,182
2020-10-19,226
2020-10-20,189
2020-10-21,189
2020-10-22,194
2020-10-23,204
2020-10-24,217
2020-10-25,191
2020-10-26,240
2020-10-27,222
2020-10-28,218
2020-10-29,220
2020-10-30,189
2020-10-31,179
2020-11-01,218
2020-11-02,226
2020-11-03,218
2020-11-04,195
2020-11-05,212
2020-11-06,236
2020-11-07,185
2020-11-08,201
2020-11-09,236
2020-11-10,244
2020-11-11,232
2020-11-12,192
2020-11-13,225
2020-11-14,187
2020-11-15,229
2020-11-16,242
2020-11-17,212
2020-11-18,208
2020-11-19,255
2020-11-20,209
2020-11-21,202
2020-11-22,180
2020-11-23,242
2020-11-24,225
2020-11-25,195
2020-11-26,207
2020-11-27,188
2020-11-28,171
2020-11-29,179
2020-11-30,206
2020-12-01,188
2020-12-02,202
2020-12-03,181
2020-12-04,191
2020-12-05,150
2020-12-06,156
2020-12-07,185
2020-12-08,186
2020-12-09,190
2020-12-10,189
2020-12-11,166
2020-12-12,156
2020-12-13,164
2020-12-14,186
2020-12-15,164
2020-12-16,155
2020-12-17,185
2020-12-18,156
2020-12-19,161
2020-12-20,139
2020-12-21,164
2020-12-22,178
2020-12-23,188
2020-12-24,177
2020-12-25,168
2020-12-26,193
2020-12-27,187
2020-12-28,204
2020-12-29,183
2020-12-30,159
2020-12-31,186
2021-01-01,156
2021-01-02,175
2021-01-03,180
2021-01-04,186
2021-01-05,168
2021-01-06,161
2021-01-07,136
2021-01-08,156
2021-01-09,139
2021-01-10,140
2021-01-11,188
2021-01-12,163
2021-01-13,183
2021-01-14,168
2021-01-15,194
2021-01-16,169
2021-01-17,154
2021-01-18,206
2021-01-19,155
2021-01-20,187
2021-01-21,164
2021-01-22,161
2021-01-23,156
2021-01-24,157
2021-01-25,222
2021-01-26,176
2021-01-27,171
2021-01-28,187
2021-01-29,191
2021-01-30,177
2021-01-31,157
2021-02-01,177
2021-02-02,171
2021-02-03,172
2021-02-04,201
2021-02-05,187
2021-02-06,172
2021-02-07,171
2021-02-08,213
2021-02-09,178
2021-02-10,164
2021-02-11,154
2021-02-12,134
2021-02-13,186
2021-02-14,200
2021-02-15,182
2021-02-16,233
2021-02-17,199
2021-02-18,183
2021-02-19,178
2021-02-20,186
2021-02-21,170
2021-02-22,200
2021-02-23,213
2021-02-24,185
2021-02-25,212
2021-02-26,192
2021-02-27,174
2021-02-28,193
2021-03-01,231
2021-03-02,198
2021-03-03,183
2021-03-04,216
2021-03-05,186
2021-03-06,188
2021-03-07,205
2021-03-08,212
2021-03-09,213
2021-03-10,194
2021-03-11,215
2021-03-12,214
2021-03-13,198
2021-03-14,201
2021-03-15,230
2021-03-16,204
2021-03-17,210
2021-03-18,214
2021-03-19,207
2021-03-20,202
2021-03-21,211
2021-03-22,259
2021-03-23,208
2021-03-24,204
2021-03-25,230
2021-03-26,182
2021-03-27,180
2021-03-28,206
2021-03-29,263
2021-03-30,239
2021-03-31,225
2021-04-01,238
2021-04-02,234
2021-04-03,234
2021-04-04,218
2021-04-05,211
2021-04-06,231
2021-04-07,239
2021-04-08,208
2021-04-09,188
2021-04-10,220
2021-04-11,184
2021-04-12,230
2021-04-13,205
2021-04-14,199
2021-04-15,214
2021-04-16,199
2021-04-17,202
2021-04-18,215
2021-04-19,246
2021-04-20,210
2021-04-21,198
2021-04-22,216
2021-04-23,231
2021-04-24,193
2021-04-25,189
2021-04-26,215
2021-04-27,199
2021-04-28,218
2021-04-29,227
2021-04-30,221
2021-05-01,214
2021-05-02,188
2021-05-03,257
2021-05-04,188
2021-05-05,233
2021-05-06,232
2021-05-07,231
2021-05-08,187
2021-05-09,206
2021-05-10,253
2021-05-11,231
2021-05-12,220
2021-05-13,219
2021-05-14,245
2021-05-15,182
2021-05-16,209
2021-05-17,256
2021-05-18,236
2021-05-19,203
2021-05-20,227
2021-05-21,235
2021-05-22,201
2021-05-23,213
2021-05-24,245
2021-05-25,232
2021-05-26,207
2021-05-27,229
2021-05-28,237
2021-05-29,239
2021-05-30,190
2021-05-31,256
2021-06-01,200
2021-06-02,220
2021-06-03,250
2021-06-04,218
2021-06-05,221
2021-06-06,189
2021-06-07,257
2021-06-08,216
2021-06-09,206
2021-06-10,221
2021-06-11,217
2021-06-12,182
2021-06-13,207
2021-06-14,206
2021-06-15,238
2021-06-16,233
2021-06-17,218
2021-06-18,225
2021-06-19,192
2021-06-20,230
2021-06-21,248
2021-06-22,211
2021-06-23,218
2021-06-24,217
2021-06-25,237
2021-06-26,205
2021-06-27,227
2021-06-28,232
2021-06-29,228
2021-06-30,211
2021-07-01,209
2021-07-02,237
2021-07-03,204
2021-07-04,199
2021-07-05,248
2021-07-06,215
2021-07-07,242
2021-07-08,229
2021-07-09,225
2021-07-10,210
2021-07-11,218
2021-07-12,234
2021-07-13,234
2021-07-14,218
2021-07-15,244
2021-07-16,199
2021-07-17,215
2021-07-18,210
2021-07-19,248
2021-07-20,197
2021-07-21,215
2021-07-22,225
2021-07-23,230
2021-07-24,211
2021-07-25,191
2021-07-26,257
2021-07-27,216
2021-07-28,232
2021-07-29,227
2021-07-30,206
2021-07-31,209
2021-08-01,180
2021-08-02,231
2021-08-03,216
2021-08-04,217
2021-08-05,221
2021-08-06,197
2021-08-07,191
2021-08-08,173
2021-08-09,239
2021-08-10,218
2021-08-11,201
2021-08-12,233
2021-08-13,223
2021-08-14,194
2021-08-15,208
2021-08-16,255
2021-08-17,218
2021-08-18,217
2021-08-19,247
2021-08-20,201
2021-08-21,205
2021-08-22,202
2021-08-23,271
2021-08-24,200
2021-08-25,233
2021-08-26,234
2021-08-27,236
2021-08-28,191
2021-08-29,217
2021-08-30,219
2021-08-31,229
2021-09-01,228
2021-09-02,250
2021-09-03,215
2021-09-04,213
2021-09-05,182
2021-09-06,254
2021-09-07,228
2021-09-08,248
2021-09-09,240
2021-09-10,233
2021-09-11,227
2021-09-12,176
2021-09-13,251
2021-09-14,223
2021-09-15,204
2021-09-16,240
2021-09-17,215
2021-09-18,196
2021-09-19,198
2021-09-20,261
2021-09-21,207
2021-09-22,206
2021-09-23,247
2021-09-24,224
2021-09-25,225
2021-09-26,203
2021-09-27,243
2021-09-28,245
2021-09-29,217
2021-09-30,237
2021-10-01,235
2021-10-02,204
2021-10-03,206
2021-10-04,273
2021-10-05,191
2021-10-06,206
2021-10-07,221
2021-10-08,203
2021-10-09,169
2021-10-10,236
2021-10-11,264
2021-10-12,223
2021-10-13,209
2021-10-14,194
2021-10-15,210
2021-10-16,202
2021-10-17,180
2021-10-18,243
2021-10-19,227
2021-10-20,208
2021-10-21,224
2021-10-22,202
2021-10-23,202
2021-10-24,192
2021-10-25,237
2021-10-26,230
2021-10-27,213
2021-10-28,219
2021-10-29,225
2021-10-30,203
2021-10-31,202
2021-11-01,220
2021-11-02,243
2021-11-03,235
2021-11-04,237
2021-11-05,222
2021-11-06,186
2021-11-07,210
2021-11-08,221
2021-11-09,204
2021-11-10,188
2021-11-11,227
2021-11-12,224
2021-11-13,216
2021-11-14,203
2021-11-15,264
2021-11-16,222
2021-11-17,228
2021-11-18,222
2021-11-19,252
2021-11-20,203
2021-11-21,211
2021-11-22,253
2021-11-23,229
2021-11-24,218
2021-11-25,204
2021-11-26,208
2021-11-27,218
2021-11-28,209
2021-11-29,211
2021-11-30,226
2021-12-01,203
2021-12-02,203
2021-12-03,207
2021-12-04,186
2021-12-05,188
2021-12-06,227
2021-12-07,211
2021-12-08,235
2021-12-09,207
2021-12-10,198
2021-12-11,193
2021-12-12,203
2021-12-13,218
2021-12-14,245
2021-12-15,221
2021-12-16,216
2021-12-17,188
2021-12-18,195
2021-12-19,206
2021-12-20,212
2021-12-21,176
2021-12-22,196
2021-12-23,211
2021-12-24,191
2021-12-25,174
2021-12-26,171
2021-12-27,178
2021-12-28,212
2021-12-29,235
2021-12-30,198
2021-12-31,190
2022-01-01,182
2022-01-02,221
2022-01-03,241
2022-01-04,223
2022-01-05,191
2022-01-06,225
2022-01-07,203
2022-01-08,183
2022-01-09,185
2022-01-10,228
2022-01-11,203
2022-01-12,177
2022-01-13,181
2022-01-14,210
2022-01-15,188
2022-01-16,158
2022-01-17,222
2022-01-18,189
2022-01-19,171
2022-01-20,215
2022-01-21,220
2022-01-22,155
2022-01-23,163
2022-01-24,209
2022-01-25,186
2022-01-26,192
2022-01-27,182
2022-01-28,197
2022-01-29,176
2022-01-30,159
2022-01-31,152
2022-02-01,122
2022-02-02,142
2022-02-03,168
2022-02-04,190
2022-02-05,210
2022-02-06,184
2022-02-07,162
2022-02-08,154
2022-02-09,182
2022-02-10,165
2022-02-11,160
2022-02-12,155
2022-02-13,166
2022-02-14,173
2022-02-15,163
2022-02-16,180
2022-02-17,155
2022-02-18,148
2022-02-19,141
2022-02-20,123
2022-02-21,199
2022-02-22,215
2022-02-23,277
2022-02-24,259
2022-02-25,241
2022-02-26,198
2022-02-27,176
2022-02-28,192
2022-03-01,218
2022-03-02,195
2022-03-03,204
2022-03-04,184
2022-03-05,185
2022-03-06,171
2022-03-07,195
2022-03-08,137
2022-03-09,184
2022-03-10,181
2022-03-11,187
2022-03-12,163
2022-03-13,172
2022-03-14,157
2022-03-15,169
2022-03-16,151
2022-03-17,154
2022-03-18,150
2022-03-19,155
2022-03-20,161
2022-03-21,160
2022-03-22,143
2022-03-23,112
2022-03-24,142
2022-03-25,146
2022-03-26,168
2022-03-27,124
2022-03-28,148
2022-03-29,133
2022-03-30,141
2022-03-31,148
2022-04-01,129
2022-04-02,126
2022-04-03,143
2022-04-04,168
2022-04-05,136
2022-04-06,158
2022-04-07,156
2022-04-08,168
2022-04-09,148
2022-04-10,153
2022-04-11,190
2022-04-12,178
2022-04-13,157
2022-04-14,172
2022-04-15,167
2022-04-16,147
2022-04-17,157
2022-04-18,160
2022-04-19,154
2022-04-20,154
2022-04-21,191
2022-04-22,176
2022-04-23,158
2022-04-24,193
2022-04-25,211
2022-04-26,169
2022-04-27,186
2022-04-28,193
2022-04-29,201
2022-04-30,174
2022-05-01,160
2022-05-02,163
2022-05-03,195
2022-05-04,194
2022-05-05,191
2022-05-06,201
2022-05-07,176
2022-05-08,163
2022-05-09,177
2022-05-10,192
2022-05-11,205
2022-05-12,164
2022-05-13,197
2022-05-14,153
2022-05-15,175
2022-05-16,191
2022-05-17,178
2022-05-18,176
2022-05-19,202
2022-05-20,228
2022-05-21,169
2022-05-22,204
2022-05-23,251
2022-05-24,177
2022-05-25,222
2022-05-26,179
2022-05-27,219
2022-05-28,174
2022-05-29,190
2022-05-30,214
2022-05-31,203
2022-06-01,231
2022-06-02,195
2022-06-03,165
2022-06-04,200
2022-06-05,194
2022-06-06,219
2022-06-07,175
2022-06-08,193
2022-06-09,193
2022-06-10,173
2022-06-11,162
2022-06-12,153
2022-06-13,234
2022-06-14,203
2022-06-15,205
2022-06-16,189
2022-06-17,225
2022-06-18,200
2022-06-19,184
2022-06-20,229
2022-06-21,244
2022-06-22,187
2022-06-23,214
2022-06-24,235
2022-06-25,225
2022-06-26,178
2022-06-27,236
2022-06-28,228
2022-06-29,204
2022-06-30,191
2022-07-01,189
2022-07-02,187
2022-07-03,210
2022-07-04,247
2022-07-05,184
2022-07-06,196
2022-07-07,227
2022-07-08,210
2022-07-09,203
2022-07-10,181
2022-07-11,250
2022-07-12,228
2022-07-13,201
2022-07-14,209
2022-07-15,199
2022-07-16,208
2022-07-17,193
2022-07-18,231
2022-07-19,213
2022-07-20,214
2022-07-21,191
2022-07-22,205
2022-07-23,200
2022-07-24,201
2022-07-25,253
2022-07-26,219
2022-07-27,203
2022-07-28,222
2022-07-29,188
2022-07-30,193
2022-07-31,219
2022-08-01,250
2022-08-02,202
2022-08-03,197
2022-08-04,182
2022-08-05,216
2022-08-06,200
2022-08-07,210
2022-08-08,220
2022-08-09,183
2022-08-10,187
2022-08-11,211
2022-08-12,223
2022-08-13,225
2022-08-14,199
2022-08-15,276
2022-08-16,217
2022-08-17,214
2022-08-18,201
2022-08-19,220
2022-08-20,205
2022-08-21,206
2022-08-22,279
2022-08-23,206
2022-08-24,221
2022-08-25,217
2022-08-26,251
2022-08-27,200
2022-08-28,218
2022-08-29,229
2022-08-30,208
2022-08-31,229
2022-09-01,216
2022-09-02,209
2022-09-03,207
2022-09-04,230
2022-09-05,231
2022-09-06,234
2022-09-07,232
2022-09-08,215
2022-09-09,213
2022-09-10,202
2022-09-11,249
2022-09-12,230
2022-09-13,263
2022-09-14,239
2022-09-15,216
2022-09-16,214
2022-09-17,211
2022-09-18,221
2022-09-19,245
2022-09-20,233
2022-09-21,227
2022-09-22,221
2022-09-23,244
2022-09-24,189
2022-09-25,212
2022-09-26,238
2022-09-27,222
2022-09-28,196
2022-09-29,234
2022-09-30,215
2022-10-01,224
2022-10-02,248
2022-10-03,248
2022-10-04,216
2022-10-05,247
2022-10-06,235
2022-10-07,273
2022-10-08,214
2022-10-09,177
2022-10-10,259
2022-10-11,238
2022-10-12,229
2022-10-13,258
2022-10-14,233
2022-10-15,233
2022-10-16,225
2022-10-17,237
2022-10-18,218
2022-10-19,243
2022-10-20,229
2022-10-21,238
2022-10-22,237
2022-10-23,244
2022-10-24,244
2022-10-25,219
2022-10-26,251
2022-10-27,219
2022-10-28,226
2022-10-29,196
2022-10-30,229
2022-10-31,274
2022-11-01,231
2022-11-02,164
2022-11-03,240
2022-11-04,244
2022-11-05,195
2022-11-06,189
2022-11-07,243
2022-11-08,228
2022-11-09,229
2022-11-10,248
2022-11-11,251
2022-11-12,226
2022-11-13,266
2022-11-14,255
2022-11-15,259
2022-11-16,226
2022-11-17,255
2022-11-18,264
2022-11-19,235
2022-11-20,226
2022-11-21,281
2022-11-22,237
2022-11-23,232
2022-11-24,211
2022-11-25,262
2022-11-26,222
2022-11-27,192
2022-11-28,267
2022-11-29,255
2022-11-30,204
2022-12-01,188
2022-12-02,226
2022-12-03,208
2022-12-04,210
2022-12-05,253
2022-12-06,233
2022-12-07,241
2022-12-08,208
2022-12-09,217
2022-12-10,207
2022-12-11,209
2022-12-12,249
2022-12-13,202
2022-12-14,198
2022-12-15,224
2022-12-16,218
2022-12-17,215
2022-12-18,198
2022-12-19,235
2022-12-20,222
2022-12-21,215
2022-12-22,208
2022-12-23,234
2022-12-24,218
2022-12-25,229
2022-12-26,249
2022-12-27,206
2022-12-28,224
2022-12-29,237
2022-12-30,224
2022-12-31,203
2023-01-01,244
2023-01-02,223
2023-01-03,189
2023-01-04,205
2023-01-05,228
2023-01-06,211
2023-01-07,180
2023-01-08,222
2023-01-09,222
2023-01-10,220
2023-01-11,208
2023-01-12,225
2023-01-13,203
2023-01-14,201
2023-01-15,178
2023-01-16,203
2023-01-17,196
2023-01-18,189
2023-01-19,196
2023-01-20,207
2023-01-21,163
2023-01-22,141
2023-01-23,173
2023-01-24,196
2023-01-25,189
2023-01-26,232
2023-01-27,202
2023-01-28,201
2023-01-29,201
2023-01-30,230
2023-01-31,206
2023-02-01,221
2023-02-02,225
2023-02-03,239
2023-02-04,208
2023-02-05,232
2023-02-06,249
2023-02-07,250
2023-02-08,242
2023-02-09,243
2023-02-10,230
2023-02-11,207
2023-02-12,201
2023-02-13,266
2023-02-14,218
2023-02-15,212
2023-02-16,223
2023-02-17,234
2023-02-18,178
2023-02-19,220
2023-02-20,275
2023-02-21,239
2023-02-22,223
2023-02-23,225
2023-02-24,259
2023-02-25,199
2023-02-26,215
2023-02-27,279
2023-02-28,275
2023-03-01,235
2023-03-02,249
2023-03-03,231
2023-03-04,197
2023-03-05,233
2023-03-06,250
2023-03-07,241
2023-03-08,274
2023-03-09,266
2023-03-10,226
2023-03-11,217
2023-03-12,242
2023-03-13,284
2023-03-14,250
2023-03-15,281
2023-03-16,236
2023-03-17,257
2023-03-18,212
2023-03-19,209
2023-03-20,285
2023-03-21,281
2023-03-22,231
2023-03-23,248
2023-03-24,240
2023-03-25,234
2023-03-26,233
2023-03-27,284
2023-03-28,267
2023-03-29,238
2023-03-30,251
2023-03-31,237
2023-04-01,209
2023-04-02,234
2023-04-03,266
2023-04-04,237
2023-04-05,227
2023-04-06,245
2023-04-07,242
2023-04-08,272
2023-04-09,253
2023-04-10,287
2023-04-11,276
2023-04-12,302
2023-04-13,259
2023-04-14,279
2023-04-15,243
2023-04-16,271
2023-04-17,300
2023-04-18,258
2023-04-19,247
2023-04-20,277
2023-04-21,264
2023-04-22,265
2023-04-23,224
2023-04-24,286
2023-04-25,252
2023-04-26,290
2023-04-27,305
2023-04-28,269
2023-04-29,283
2023-04-30,289
2023-05-01,303
2023-05-02,298
2023-05-03,291
2023-05-04,279
2023-05-05,273
2023-05-06,267
2023-05-07,279
2023-05-08,290
2023-05-09,297
2023-05-10,291
2023-05-11,275
2023-05-12,285
2023-05-13,251
2023-05-14,263
2023-05-15,300
2023-05-16,308
2023-05-17,263
2023-05-18,320
2023-05-19,295
2023-05-20,293
2023-05-21,327
2023-05-22,346
2023-05-23,285
2023-05-24,317
2023-05-25,314
2023-05-26,313
2023-05-27,315
2023-05-28,280
2023-05-29,317
2023-05-30,295
2023-05-31,261
2023-06-01,259
2023-06-02,282
2023-06-03,244
2023-06-04,290
2023-06-05,309
2023-06-06,229
2023-06-07,245
2023-06-08,267
2023-06-09,242
2023-06-10,247
2023-06-11,271
2023-06-12,282
2023-06-13,246
2023-06-14,246
2023-06-15,278
2023-06-16,232
2023-06-17,240
2023-06-18,264
2023-06-19,297
2023-06-20,277
2023-06-21,271
2023-06-22,258
2023-06-23,258
2023-06-24,234
2023-06-25,273
2023-06-26,280
2023-06-27,276
2023-06-28,228
2023-06-29,300
2023-06-30,266
2023-07-01,233
2023-07-02,299
2023-07-03,288
2023-07-04,263
2023-07-05,288
2023-07-06,281
2023-07-07,283
2023-07-08,271
2023-07-09,261
2023-07-10,292
2023-07-11,262
2023-07-12,237
2023-07-13,299
2023-07-14,258
2023-07-15,241
2023-07-16,272
2023-07-17,262
2023-07-18,287
2023-07-19,283
2023-07-20,263
2023-07-21,265
2023-07-22,209
2023-07-23,250
2023-07-24,278
2023-07-25,262
2023-07-26,268
2023-07-27,220
2023-07-28,261
2023-07-29,220
2023-07-30,234
2023-07-31,268
2023-08-01,259
2023-08-02,232
2023-08-03,247
2023-08-04,235
2023-08-05,216
2023-08-06,236
2023-08-07,292
2023-08-08,227
2023-08-09,277
2023-08-10,257
2023-08-11,248
2023-08-12,236
2023-08-13,244
2023-08-14,270
2023-08-15,260
2023-08-16,278
2023-09-23,281
2023-09-24,295
2023-09-25,314
2023-09-26,305
2023-09-27,282
2023-09-28,266
2023-09-29,263
2023-09-30,284
2023-10-01,298
2023-10-02,302
2023-10-03,331
2023-10-04,321
2023-10-05,297
2023-10-06,271
2023-10-07,247
2023-10-08,216
2023-10-09,270
2023-10-10,288
2023-10-11,263
2023-10-12,239
2023-10-13,278
2023-10-14,234
2023-10-15,279
2023-10-16,280
2023-10-17,285
2023-10-18,240
2023-10-19,276
2023-10-20,270
2023-10-21,235
2023-10-22,227
2023-10-23,274
2023-10-24,289
2023-10-25,235
2023-10-26,242
2023-10-27,256
2023-10-28,257
2023-10-29,236
2023-10-30,280
2023-10-31,251
2023-11-01,233
2023-11-02,270
2023-11-03,248
2023-11-04,242
2023-11-05,253
2023-11-06,276
2023-11-07,250
2023-11-08,260
2023-11-09,270
2023-11-10,256
2023-11-11,212
2023-11-12,257
2023-11-13,265
2023-11-14,269
2023-11-15,247
2023-11-16,262
2023-11-17,233
2023-11-18,217
2023-11-19,252
2023-11-20,261
2023-11-21,253
2023-11-22,238
2023-11-23,295
2023-11-24,243
2023-11-25,255
2023-11-26,239
2023-11-27,282
2023-11-28,292
2023-11-29,267
2023-11-30,259
2023-12-01,284
2023-12-02,257
2023-12-03,262
2023-12-04,301
2023-12-05,251
2023-12-06,233
2023-12-07,245
2023-12-08,260
2023-12-09,250
2023-12-10,274
2023-12-11,280
2023-12-12,259
2023-12-13,259
2023-12-14,285
2023-12-15,284
2023-12-16,189
2023-12-17,218
2023-12-18,261
2023-12-19,264
2023-12-20,205
2023-12-21,197
2023-12-22,201
2023-12-23,257
2023-12-24,224
2023-12-25,239
2023-12-26,288
2023-12-27,293
2023-12-28,252
2023-12-29,275
2023-12-30,273
2023-12-31,286
2024-01-01,251
2024-01-02,333
2024-01-03,276
2024-01-04,264
2024-01-05,283
2024-01-06,222
2024-01-07,272
2024-01-08,330
2024-01-09,282
2024-01-10,245
2024-01-11,250
2024-01-12,235
2024-01-13,224
2024-01-14,230
2024-01-15,287
2024-01-16,223
2024-01-17,244
2024-01-18,210
2024-01-19,281
2024-01-20,223
2024-01-21,237
2024-01-22,263
2024-01-23,213
2024-01-24,223
2024-01-25,244
2024-01-26,221
2024-01-27,219
2024-01-28,239
2024-01-29,275
2024-01-30,241
2024-01-31,248
2024-02-01,261
2024-02-02,268
2024-02-03,224
2024-02-04,279
2024-02-05,310
2024-02-06,237
2024-02-07,216
2024-02-08,213
2024-02-09,181
2024-02-10,168
2024-02-11,261
2024-02-12,279
2024-02-13,279
2024-02-14,299
2024-02-15,286
2024-02-16,249
2024-02-17,243
2024-02-18,258
2024-02-19,302
2024-02-20,287
2024-02-21,285
2024-02-22,256
2024-02-23,227
2024-02-24,206
2024-02-25,240
2024-02-26,290
2024-02-27,270
2024-02-28,279
2024-02-29,240
2024-03-01,224
2024-03-02,191
2024-03-03,231
2024-03-04,301
2024-03-05,271
2024-03-06,272
2024-03-07,256
2024-03-08,275
2024-03-09,214
2024-03-10,233
2024-03-11,298
2024-03-12,273
2024-03-13,253
2024-03-14,272
2024-03-15,285
2024-03-16,234
2024-03-17,274
2024-03-18,278
2024-03-19,275
2024-03-20,273
2024-03-21,294
2024-03-22,266
2024-03-23,252
2024-03-24,258
2024-03-25,268
2024-03-26,248
2024-03-27,234
2024-03-28,269
2024-03-29,247
2024-03-30,251
2024-03-31,230
2024-04-01,297
2024-04-02,267
2024-04-03,285
2024-04-04,257
2024-04-05,300
2024-04-06,236
2024-04-07,254
2024-04-08,271
2024-04-09,279
2024-04-10,285
2024-04-11,278
2024-04-12,262
2024-04-13,225
2024-04-14,275
2024-04-15,283
2024-04-16,274
2024-04-17,262
2024-04-18,248
2024-04-19,294
2024-04-20,231
2024-04-21,236
2024-04-22,298
2024-04-23,265
2024-04-24,253
2024-04-25,272
2024-04-26,243
2024-09-22,208
2024-09-23,267
2024-09-24,243
2024-09-25,241
2024-09-26,254
2024-09-27,274
2024-09-28,231
2024-09-29,232
2024-09-30,281
2024-10-01,250
2024-10-02,239
2024-10-03,239
2024-10-04,245
2024-10-05,204
2024-10-06,240
2024-10-07,319
2024-10-08,230
2024-10-09,258
2024-10-10,233
2024-10-11,240
2024-10-12,215
2024-10-13,256
2024-10-14,290
2024-10-15,267
2024-10-16,260
2024-10-17,233
2024-10-18,251
2024-10-19,214
2024-10-20,227
2024-10-21,276
2024-10-22,264
2024-10-23,254
2024-10-24,242
2024-10-25,242
2024-10-26,230
2024-10-27,216
2024-10-28,260
2024-10-29,290
2024-10-30,237
2024-10-31,249
2024-11-01,236
2024-11-02,213
2024-11-03,208
2024-11-04,289
2024-11-05,233
2024-11-06,220
2024-11-07,252
2024-11-08,239
2024-11-09,212
2024-11-10,256
2024-11-11,270
2024-11-12,271
2024-11-13,241
2024-11-14,219
2024-11-15,257
2024-11-16,244
2024-11-17,223
2024-11-18,272
2024-11-19,232
2024-11-20,196
2024-11-21,242
2024-11-22,241
2024-11-23,220
2024-11-24,226
2024-11-25,250
2024-11-26,262
2024-11-27,243
2024-11-28,241
2024-11-29,256
2024-11-30,234
2024-12-01,248
2024-12-02,280
2024-12-03,269
2024-12-04,230
